address,label_name,comment
0x0100003A,cummins_module_id,Cummins module identifier field (EN=0x454E)
0x3662E,module_lookup_table_en,Module ID lookup table entry for EN family
0x0000ec6c,mc68336_watchdog_init_2,MC68336 watchdog initialization sequence 2
0x0000ec34,mc68336_watchdog_init_1,MC68336 watchdog initialization sequence 1
0x0000ece2,mc68336_watchdog_init_3,MC68336 watchdog initialization sequence 3
0x0000ed1a,mc68336_watchdog_init_4,MC68336 watchdog initialization sequence 4
0x0000edf0,mc68336_watchdog_service_1,MC68336 watchdog service routine 1
0x0000ee40,mc68336_watchdog_service_2,MC68336 watchdog service routine 2
0x1C7CA,handler_case_255_entry,Case 255 handler entry point
0x1C33E,handler_case_17_entry,Case 17 handler entry point
0x1C85A,switch_case_16,VP44 handler case - reads byte 0
0x1C88E,call_vp44_handler,Branch to VP44 handler (bsrw 0x1c538)
0x1C538,vp44_fuel_temp_entry,VP44 fuel temperature handler entry point
0x1C776,handler_case_19_entry,Case 19 handler entry point
0x1C860,switch_case_17,Alternative handler case
0x1C866,switch_case_19,Third handler case
0x1C872,switch_case_255,Default/error case (0xFF)
0x1c7ca,diagnostic_error_handler,CalTerm/Insite diagnostic error handler entry point
0x1c33e,diagnostic_param_request_handler,CalTerm/Insite parameter request handler entry point
0x1c776,diagnostic_status_request_handler,CalTerm/Insite status request handler entry point
0x2a3c6,can_param_extract_1,Extract param_table_main.param_table_2 >> 8
0x2a3d6,param1_to_can_call,Call param_lookup_1 for CAN transmission
0x2a3de,can_param_extract_2,Extract param_table_main.param_table_1 >> 8
0x2a4f6,param2_to_can_call,Call param_lookup_2 for CAN transmission
0x2a4fe,can_param_extract_3,Extract param_table_main.param_table_3 >> 8
0x2a59a,can_param_extract_4,Extract param_table_main.param_table_4 >> 8
0x2a592,param3_to_can_call,Call param_lookup_3 for CAN transmission
0x18f82,active_param_read_function,Active EEPROM parameter reading for diagnostics
0x29C8A,rpm_multiply_point,RPM x4 multiplication point
0x29C52,build_can_msg_entry,CAN message builder entry point
0x29C67,fuel_percent_store,Fuel percentage storage point
0x29C74,timing_advance_store,Timing advance storage point
0x80d49a,cached_param_value,Cached parameter value for diagnostic response
0x80d49c,diagnostic_mode_status,Diagnostic operation mode status register
0x800f34,diagnostic_message_state,J1939 diagnostic message processing state
0x809654,param_system_mode_flag,Parameter system current operation mode
0xd6a0,param_table2_load,Load parameter table 2 address (0x80CFDA)
0xd7a6,param_block_calc_4,Block×256×4 calculation pattern (fourth caller)
0xd57c,param_system_mode_controller,Parameter system diagnostic mode controller
0xd63c,ref_table_load,Load reference table address (0x8086F6)
0xd75a,param_table3_load,Load parameter table 3 address (0x80CFDE)
0xd618,param_block_calc_1,Block×256×4 calculation pattern (param_lookup_1)
0xd636,param_table1_load,Load parameter table 1 address (0x80CFD6)
0xd682,param_block_calc_2,Block×256×4 calculation pattern (param_lookup_2)
0xd700,param_block_calc_3,Block×256×4 calculation pattern (param_lookup_3)
0xfffa22,REG_SIM_PICR,Periodic Interrupt Control Reg
0xFFFA24,REG_SIM_PITR, Periodic Interrupt Timer Reg
0xFFFA27,REG_SIM_SWSR, Software Watchdog Service Reg
0x808f0a,main_loop_callback, The function that main loop actually runs
0x800358,main_loop_phase_index, The phase the main loop is int
0x800356,main_loop_counter, How many times hath the main loop ran?
